sentiment,sentence_stemmed,sentence_stemmed_str
1,"['yellowtail', 'carpaccio', 'melt', 'mouth', 'fresh']",yellowtail carpaccio melt mouth fresh
0,"['wont', 'tri', 'go', 'back', 'even', 'empti']",wont tri go back even empti
0,"['im', 'go', 'eat', 'potato', 'found', 'stranger', 'hair']",im go eat potato found stranger hair
1,"['spici', 'enough', 'perfect', 'actual']",spici enough perfect actual
1,"['last', 'night', 'second', 'time', 'dine', 'happi', 'decid', 'go', 'back']",last night second time dine happi decid go back
0,"['even', 'hello', 'right']",even hello right
0,"['dessert', 'bit', 'strang']",dessert bit strang
1,"['boyfriend', 'came', 'first', 'time', 'recent', 'trip', 'vega', 'could', 'pleas', 'qualiti', 'food', 'servic']",boyfriend came first time recent trip vega could pleas qualiti food servic
1,"['realli', 'recommend', 'place', 'go', 'wrong', 'donut', 'place']",realli recommend place go wrong donut place
1,"['nice', 'ambianc']",nice ambianc
1,"['would', 'recommend', 'save', 'room']",would recommend save room
0,"['guess', 'mayb', 'went', 'night', 'disgrac']",guess mayb went night disgrac
0,"['howev', 'recent', 'experi', 'particular', 'locat', 'good']",howev recent experi particular locat good
0,"['know', 'like', 'restaur', 'someth']",know like restaur someth
0,"['avoid', 'establish']",avoid establish
0,"['think', 'restaur', 'suffer', 'tri', 'hard', 'enough']",think restaur suffer tri hard enough
1,"['tapa', 'dish', 'delici']",tapa dish delici
1,"['heart', 'place']",heart place
0,"['salad', 'bland', 'vinegrett', 'babi', 'green', 'heart', 'palm']",salad bland vinegrett babi green heart palm
0,"['two', 'felt', 'disgust']",two felt disgust
1,"['good', 'time']",good time
1,"['believ', 'place', 'great', 'stop', 'huge', 'belli', 'hanker', 'sushi']",believ place great stop huge belli hanker sushi
1,"['gener', 'portion', 'great', 'tast']",gener portion great tast
0,"['never', 'go', 'back', 'place', 'never', 'ever', 'recommend', 'place', 'anyon']",never go back place never ever recommend place anyon
0,"['server', 'went', 'back', 'forth', 'sever', 'time', 'even', 'much', 'help']",server went back forth sever time even much help
1,"['food', 'delici']",food delici
0,"['hour', 'serious']",hour serious
0,"['consid', 'theft']",consid theft
0,"['eew', 'locat', 'need', 'complet', 'overhaul']",eew locat need complet overhaul
0,"['recent', 'wit', 'poor', 'qualiti', 'manag', 'toward', 'guest', 'well']",recent wit poor qualiti manag toward guest well
0,"['wait', 'wait', 'wait']",wait wait wait
1,"['also', 'came', 'back', 'check', 'us', 'regularli', 'excel', 'servic']",also came back check us regularli excel servic
1,"['server', 'super', 'nice', 'check', 'us', 'mani', 'time']",server super nice check us mani time
0,"['pizza', 'tast', 'old', 'super', 'chewi', 'good', 'way']",pizza tast old super chewi good way
0,"['swung', 'give', 'tri', 'deepli', 'disappoint']",swung give tri deepli disappoint
1,"['servic', 'good', 'compani', 'better']",servic good compani better
1,"['staff', 'also', 'friendli', 'effici']",staff also friendli effici
1,"['servic', 'im', 'fan', 'quick', 'your', 'serv', 'nice', 'folk']",servic im fan quick your serv nice folk
0,"['boy', 'sucker', 'dri']",boy sucker dri
0,['rate'],rate
0,"['look', 'authent', 'thai', 'food', 'go', 'els']",look authent thai food go els
1,"['steak', 'recommend']",steak recommend
0,"['pull', 'car', 'wait', 'anoth', 'minut', 'acknowledg']",pull car wait anoth minut acknowledg
1,"['great', 'food', 'great', 'servic', 'clean', 'friendli', 'set']",great food great servic clean friendli set
1,"['assur', 'ill', 'back']",assur ill back
0,"['hate', 'thing', 'much', 'cheap', 'qualiti', 'black', 'oliv']",hate thing much cheap qualiti black oliv
1,"['breakfast', 'perpar', 'great', 'beauti', 'present', 'giant', 'slice', 'toast', 'lightli', 'dust', 'powder', 'sugar']",breakfast perpar great beauti present giant slice toast lightli dust powder sugar
0,"['kid', 'play', 'area', 'nasti']",kid play area nasti
1,"['great', 'place', 'fo', 'take', 'eat']",great place fo take eat
1,"['waitress', 'friendli', 'happi', 'accomod', 'veganveggi', 'option']",waitress friendli happi accomod veganveggi option
1,"['omg', 'felt', 'like', 'never', 'eaten', 'thai', 'food', 'dish']",omg felt like never eaten thai food dish
0,"['extrem', 'crumbi', 'pretti', 'tasteless']",extrem crumbi pretti tasteless
0,"['pale', 'color', 'instead', 'nice', 'char', 'flavor']",pale color instead nice char flavor
1,"['crouton', 'also', 'tast', 'homemad', 'extra', 'plu']",crouton also tast homemad extra plu
0,"['got', 'home', 'see', 'driest', 'damn', 'wing', 'ever']",got home see driest damn wing ever
1,"['itll', 'regular', 'stop', 'trip', 'phoenix']",itll regular stop trip phoenix
1,"['realli', 'enjoy', 'crema', 'café', 'expand', 'even', 'told', 'friend', 'best', 'breakfast']",realli enjoy crema café expand even told friend best breakfast
0,"['good', 'money']",good money
1,"['miss', 'wish', 'one', 'philadelphia']",miss wish one philadelphia
0,"['got', 'sit', 'fairli', 'fast', 'end', 'wait', 'minut', 'place', 'order', 'anoth', 'minut', 'food', 'arriv']",got sit fairli fast end wait minut place order anoth minut food arriv
1,"['also', 'best', 'chees', 'crisp', 'town']",also best chees crisp town
1,"['good', 'valu', 'great', 'food', 'great', 'servic']",good valu great food great servic
1,"['couldnt', 'ask', 'satisfi', 'meal']",couldnt ask satisfi meal
1,"['food', 'good']",food good
1,['awesom'],awesom
0,"['want', 'leav']",want leav
1,"['made', 'drive', 'way', 'north', 'scottsdal', 'one', 'bit', 'disappoint']",made drive way north scottsdal one bit disappoint
0,['eat'],eat
0,"['owner', 'realli', 'realli', 'need', 'quit', 'soooooo', 'cheap', 'let', 'wrap', 'freak', 'sandwich', 'two', 'paper', 'one']",owner realli realli need quit soooooo cheap let wrap freak sandwich two paper one
0,"['check', 'place', 'coupl', 'year', 'ago', 'impress']",check place coupl year ago impress
0,"['chicken', 'got', 'definit', 'reheat', 'ok', 'wedg', 'cold', 'soggi']",chicken got definit reheat ok wedg cold soggi
0,"['sorri', 'get', 'food', 'anytim', 'soon']",sorri get food anytim soon
1,"['absolut', 'must', 'visit']",absolut must visit
1,"['cow', 'tongu', 'cheek', 'taco', 'amaz']",cow tongu cheek taco amaz
0,"['friend', 'like', 'bloodi', 'mari']",friend like bloodi mari
0,"['despit', 'hard', 'rate', 'busi', 'actual', 'rare', 'give', 'star']",despit hard rate busi actual rare give star
1,"['realli', 'want', 'make', 'experi', 'good', 'one']",realli want make experi good one
0,['return'],return
0,"['chicken', 'pho', 'tast', 'bland']",chicken pho tast bland
0,['disappoint'],disappoint
1,"['grill', 'chicken', 'tender', 'yellow', 'saffron', 'season']",grill chicken tender yellow saffron season
0,"['drive', 'thru', 'mean', 'want', 'wait', 'around', 'half', 'hour', 'food', 'somehow', 'end', 'go', 'make', 'us', 'wait', 'wait']",drive thru mean want wait around half hour food somehow end go make us wait wait
1,"['pretti', 'awesom', 'place']",pretti awesom place
1,"['ambienc', 'perfect']",ambienc perfect
0,"['best', 'luck', 'rude', 'noncustom', 'servic', 'focus', 'new', 'manag']",best luck rude noncustom servic focus new manag
0,"['grandmoth', 'make', 'roast', 'chicken', 'better', 'one']",grandmoth make roast chicken better one
0,"['ask', 'multipl', 'time', 'wine', 'list', 'time', 'ignor', 'went', 'hostess', 'got', 'one']",ask multipl time wine list time ignor went hostess got one
1,"['staff', 'alway', 'super', 'friendli', 'help', 'especi', 'cool', 'bring', 'two', 'small', 'boy', 'babi']",staff alway super friendli help especi cool bring two small boy babi
1,"['four', 'star', 'food', 'guy', 'blue', 'shirt', 'great', 'vibe', 'still', 'let', 'us', 'eat']",four star food guy blue shirt great vibe still let us eat
1,"['roast', 'beef', 'sandwich', 'tast', 'realli', 'good']",roast beef sandwich tast realli good
0,"['even', 'drastic', 'sick']",even drastic sick
1,"['highqual', 'chicken', 'chicken', 'caesar', 'salad']",highqual chicken chicken caesar salad
0,"['order', 'burger', 'rare', 'came', 'well', 'done']",order burger rare came well done
1,"['promptli', 'greet', 'seat']",promptli greet seat
0,"['tri', 'go', 'lunch', 'madhous']",tri go lunch madhous
1,"['proven', 'dead', 'wrong', 'sushi', 'bar', 'qualiti', 'great', 'servic', 'fast', 'food', 'impecc']",proven dead wrong sushi bar qualiti great servic fast food impecc
0,"['wait', 'hour', 'seat', 'greatest', 'mood']",wait hour seat greatest mood
1,"['good', 'joint']",good joint
1,"['macaron', 'insan', 'good']",macaron insan good
0,"['im', 'eat']",im eat
1,"['waiter', 'attent', 'friendli', 'inform']",waiter attent friendli inform
0,"['mayb', 'werent', 'cold', 'would', 'somewhat', 'edibl']",mayb werent cold would somewhat edibl
0,"['place', 'lot', 'promis', 'fail', 'deliv']",place lot promis fail deliv
0,"['bad', 'experi']",bad experi
0,['mistak'],mistak
0,"['food', 'averag', 'best']",food averag best
1,"['great', 'food']",great food
0,"['wont', 'go', 'back', 'anytim', 'soon']",wont go back anytim soon
0,"['disappoint', 'order', 'big', 'bay', 'plater']",disappoint order big bay plater
1,"['great', 'place', 'relax', 'awesom', 'burger', 'beer']",great place relax awesom burger beer
1,"['perfect', 'sitdown', 'famili', 'meal', 'get', 'togeth', 'friend']",perfect sitdown famili meal get togeth friend
0,"['much', 'flavor', 'poorli', 'construct']",much flavor poorli construct
1,"['patio', 'seat', 'comfort']",patio seat comfort
0,"['fri', 'rice', 'dri', 'well']",fri rice dri well
1,"['hand', 'favorit', 'italian', 'restaur']",hand favorit italian restaur
1,"['scream', 'legit', 'booksomethat', 'also', 'pretti', 'rare', 'vega']",scream legit booksomethat also pretti rare vega
1,"['fun', 'experi']",fun experi
1,"['atmospher', 'great', 'love', 'duo', 'violinist', 'play', 'song', 'request']",atmospher great love duo violinist play song request
1,"['person', 'love', 'hummu', 'pita', 'baklava', 'falafel', 'baba', 'ganoush', 'amaz', 'eggplant']",person love hummu pita baklava falafel baba ganoush amaz eggplant
1,"['conveni', 'sinc', 'stay', 'mgm']",conveni sinc stay mgm
1,"['owner', 'super', 'friendli', 'staff', 'courteou']",owner super friendli staff courteou
1,['great'],great
1,"['eclect', 'select']",eclect select
1,"['sweet', 'potato', 'tot', 'good', 'onion', 'ring', 'perfect', 'close']",sweet potato tot good onion ring perfect close
1,"['staff', 'attent']",staff attent
1,"['chef', 'gener', 'time', 'even', 'came', 'around', 'twice', 'take', 'pictur']",chef gener time even came around twice take pictur
1,"['owner', 'use', 'work', 'nobu', 'place', 'realli', 'similar', 'half', 'price']",owner use work nobu place realli similar half price
0,"['googl', 'mediocr', 'imagin', 'smashburg', 'pop']",googl mediocr imagin smashburg pop
0,"['dont', 'go']",dont go
1,"['promis', 'wont', 'disappoint']",promis wont disappoint
0,"['sushi', 'lover', 'avoid', 'place', 'mean']",sushi lover avoid place mean
1,"['great', 'doubl', 'cheeseburg']",great doubl cheeseburg
1,"['awesom', 'servic', 'food']",awesom servic food
1,"['fantast', 'neighborhood', 'gem']",fantast neighborhood gem
1,"['cant', 'wait', 'go', 'back']",cant wait go back
0,"['plantain', 'worst', 'ive', 'ever', 'tast']",plantain worst ive ever tast
1,"['great', 'place', 'highli', 'recommend']",great place highli recommend
0,"['servic', 'slow', 'attent']",servic slow attent
1,"['gave', 'star', 'im', 'give', 'star']",gave star im give star
0,"['staff', 'spend', 'time', 'talk']",staff spend time talk
1,"['dessert', 'panna', 'cotta', 'amaz']",dessert panna cotta amaz
1,"['good', 'food', 'great', 'atmospher']",good food great atmospher
1,"['damn', 'good', 'steak']",damn good steak
0,"['total', 'brunch', 'fail']",total brunch fail
1,"['price', 'reason', 'flavor', 'spot', 'sauc', 'home', 'made', 'slaw', 'drench', 'mayo']",price reason flavor spot sauc home made slaw drench mayo
1,"['decor', 'nice', 'piano', 'music', 'soundtrack', 'pleasant']",decor nice piano music soundtrack pleasant
1,"['steak', 'amazingrg', 'fillet', 'relleno', 'best', 'seafood', 'plate', 'ever']",steak amazingrg fillet relleno best seafood plate ever
1,"['good', 'food', 'good', 'servic']",good food good servic
1,"['absolut', 'amaz']",absolut amaz
0,"['probabl', 'wont', 'back', 'honest']",probabl wont back honest
1,"['definit', 'back']",definit back
1,"['sergeant', 'pepper', 'beef', 'sandwich', 'auju', 'sauc', 'excel', 'sandwich', 'well']",sergeant pepper beef sandwich auju sauc excel sandwich well
1,"['hawaiian', 'breez', 'mango', 'magic', 'pineappl', 'delight', 'smoothi', 'ive', 'tri', 'far', 'theyr', 'good']",hawaiian breez mango magic pineappl delight smoothi ive tri far theyr good
0,"['went', 'lunch', 'servic', 'slow']",went lunch servic slow
0,"['much', 'say', 'place', 'walk', 'expect', 'amaz', 'quickli', 'disappoint']",much say place walk expect amaz quickli disappoint
0,['mortifi'],mortifi
0,"['needless', 'say', 'never', 'back']",needless say never back
0,"['anyway', 'food', 'definit', 'fill', 'price', 'pay', 'expect']",anyway food definit fill price pay expect
0,"['chip', 'came', 'drip', 'greas', 'mostli', 'edibl']",chip came drip greas mostli edibl
0,"['wasnt', 'realli', 'impress', 'strip', 'steak']",wasnt realli impress strip steak
1,"['go', 'sinc', 'everi', 'meal', 'awesom']",go sinc everi meal awesom
1,"['server', 'nice', 'attent', 'serv', 'staff']",server nice attent serv staff
1,"['cashier', 'friendli', 'even', 'brought', 'food']",cashier friendli even brought food
0,"['work', 'hospit', 'industri', 'paradis', 'valley', 'refrain', 'recommend', 'cibo', 'longer']",work hospit industri paradis valley refrain recommend cibo longer
1,"['atmospher', 'fun']",atmospher fun
0,"['would', 'recommend', 'other']",would recommend other
1,"['servic', 'quick', 'even', 'go', 'order', 'like', 'like']",servic quick even go order like like
0,"['mean', 'realli', 'get', 'famou', 'fish', 'chip', 'terribl']",mean realli get famou fish chip terribl
1,"['said', 'mouth', 'belli', 'still', 'quit', 'pleas']",said mouth belli still quit pleas
0,['thing'],thing
1,['thumb'],thumb
0,"['read', 'pleas', 'dont', 'go']",read pleas dont go
1,"['love', 'grill', 'pizza', 'remind', 'legit', 'italian', 'pizza']",love grill pizza remind legit italian pizza
1,"['pro', 'larg', 'seat', 'area', 'nice', 'bar', 'area', 'great', 'simpl', 'drink', 'menu', 'best', 'brick', 'oven', 'pizza', 'homemad', 'dough']",pro larg seat area nice bar area great simpl drink menu best brick oven pizza homemad dough
1,"['realli', 'nice', 'atmospher']",realli nice atmospher
0,"['tonight', 'elk', 'filet', 'specialand', 'suck']",tonight elk filet specialand suck
1,"['one', 'bite', 'hook']",one bite hook
0,"['order', 'old', 'classic', 'new', 'dish', 'go', 'time', 'sore', 'disappoint', 'everyth']",order old classic new dish go time sore disappoint everyth
1,"['cute', 'quaint', 'simpl', 'honest']",cute quaint simpl honest
1,"['chicken', 'delici', 'season', 'perfect', 'fri', 'outsid', 'moist', 'chicken', 'insid']",chicken delici season perfect fri outsid moist chicken insid
1,"['food', 'great', 'alway', 'compliment', 'chef']",food great alway compliment chef
1,"['special', 'thank', 'dylan', 'recommend', 'order', 'yummi', 'tummi']",special thank dylan recommend order yummi tummi
1,"['awesom', 'select', 'beer']",awesom select beer
1,"['great', 'food', 'awesom', 'servic']",great food awesom servic
1,"['one', 'nice', 'thing', 'ad', 'gratuiti', 'bill', 'sinc', 'parti', 'larger', 'didnt', 'expect', 'tip']",one nice thing ad gratuiti bill sinc parti larger didnt expect tip
0,"['fli', 'appl', 'juic', 'fli']",fli appl juic fli
1,"['han', 'nan', 'chicken', 'also', 'tasti']",han nan chicken also tasti
1,"['servic', 'thought', 'good']",servic thought good
0,"['food', 'bare', 'lukewarm', 'must', 'sit', 'wait', 'server', 'bring', 'us']",food bare lukewarm must sit wait server bring us
0,"['ryan', 'bar', 'definit', 'one', 'edinburgh', 'establish', 'wont', 'revisit']",ryan bar definit one edinburgh establish wont revisit
1,"['nicest', 'chines', 'restaur', 'ive']",nicest chines restaur ive
1,"['overal', 'like', 'food', 'servic']",overal like food servic
1,"['also', 'serv', 'indian', 'naan', 'bread', 'hummu', 'spici', 'pine', 'nut', 'sauc', 'world']",also serv indian naan bread hummu spici pine nut sauc world
0,"['probabl', 'never', 'come', 'back', 'wouldnt', 'recommend']",probabl never come back wouldnt recommend
0,"['friend', 'pasta', 'also', 'bad', 'bare', 'touch']",friend pasta also bad bare touch
1,"['tri', 'airport', 'experi', 'tasti', 'food', 'speedi', 'friendli', 'servic']",tri airport experi tasti food speedi friendli servic
1,"['love', 'decor', 'chines', 'calligraphi', 'wall', 'paper']",love decor chines calligraphi wall paper
1,"['never', 'anyth', 'complain']",never anyth complain
1,"['restaur', 'clean', 'famili', 'restaur', 'feel']",restaur clean famili restaur feel
0,"['way', 'fri']",way fri
0,"['im', 'sure', 'long', 'stood', 'long', 'enough', 'begin', 'feel', 'awkwardli', 'place']",im sure long stood long enough begin feel awkwardli place
0,"['open', 'sandwich', 'impress', 'good', 'way']",open sandwich impress good way
0,['back'],back
1,"['warm', 'feel', 'servic', 'felt', 'like', 'guest', 'special', 'treat']",warm feel servic felt like guest special treat
1,"['extens', 'menu', 'provid', 'lot', 'option', 'breakfast']",extens menu provid lot option breakfast
1,"['alway', 'order', 'vegetarian', 'menu', 'dinner', 'wide', 'array', 'option', 'choos']",alway order vegetarian menu dinner wide array option choos
0,"['watch', 'price', 'inflat', 'portion', 'get', 'smaller', 'manag', 'attitud', 'grow', 'rapidli']",watch price inflat portion get smaller manag attitud grow rapidli
1,"['wonder', 'lil', 'tapa', 'ambienc', 'made', 'feel', 'warm', 'fuzzi', 'insid']",wonder lil tapa ambienc made feel warm fuzzi insid
1,"['got', 'enjoy', 'seafood', 'salad', 'fabul', 'vinegrett']",got enjoy seafood salad fabul vinegrett
1,"['wonton', 'thin', 'thick', 'chewi', 'almost', 'melt', 'mouth']",wonton thin thick chewi almost melt mouth
1,"['level', 'spici', 'perfect', 'spice', 'didnt', 'overwhelm', 'soup']",level spici perfect spice didnt overwhelm soup
1,"['sat', 'right', 'time', 'server', 'get', 'go', 'fantast']",sat right time server get go fantast
0,"['main', 'thing', 'didnt', 'enjoy', 'crowd', 'older', 'crowd', 'around', 'mid']",main thing didnt enjoy crowd older crowd around mid
1,"['im', 'side', 'town', 'definit', 'spot', 'ill', 'hit']",im side town definit spot ill hit
0,"['wait', 'minut', 'get', 'drink', 'longer', 'get', 'arepa']",wait minut get drink longer get arepa
1,"['great', 'place', 'eat']",great place eat
1,"['jalapeno', 'bacon', 'soooo', 'good']",jalapeno bacon soooo good
0,"['servic', 'poor', 'that', 'nice']",servic poor that nice
1,"['food', 'good', 'servic', 'good', 'price', 'good']",food good servic good price good
0,"['place', 'clean', 'food', 'oh', 'stale']",place clean food oh stale
0,"['chicken', 'dish', 'ok', 'beef', 'like', 'shoe', 'leather']",chicken dish ok beef like shoe leather
0,"['servic', 'beyond', 'bad']",servic beyond bad
1,"['im', 'happi']",im happi
0,"['tast', 'like', 'dirt']",tast like dirt
1,"['one', 'place', 'phoenix', 'would', 'defin', 'go', 'back']",one place phoenix would defin go back
1,"['block', 'amaz']",block amaz
1,"['close', 'hous', 'lowkey', 'nonfanc', 'afford', 'price', 'good', 'food']",close hous lowkey nonfanc afford price good food
1,"['hot', 'sour', 'egg', 'flower', 'soup', 'absolut', 'star']",hot sour egg flower soup absolut star
0,"['sashimi', 'poor', 'qualiti', 'soggi', 'tasteless']",sashimi poor qualiti soggi tasteless
1,"['great', 'time', 'famili', 'dinner', 'sunday', 'night']",great time famili dinner sunday night
0,"['food', 'tasti', 'say', 'real', 'tradit', 'hunan', 'style']",food tasti say real tradit hunan style
0,"['bother', 'slow', 'servic']",bother slow servic
1,"['flair', 'bartend', 'absolut', 'amaz']",flair bartend absolut amaz
0,"['frozen', 'margarita', 'way', 'sugari', 'tast']",frozen margarita way sugari tast
1,"['good', 'order', 'twice']",good order twice
0,"['nutshel', 'restaraunt', 'smell', 'like', 'combin', 'dirti', 'fish', 'market', 'sewer']",nutshel restaraunt smell like combin dirti fish market sewer
0,"['girlfriend', 'veal', 'bad']",girlfriend veal bad
0,"['unfortun', 'good']",unfortun good
1,"['pretti', 'satifi', 'experi']",pretti satifi experi
1,"['join', 'club', 'get', 'awesom', 'offer', 'via', 'email']",join club get awesom offer via email
1,"['perfect', 'someon', 'like', 'beer', 'ice', 'cold', 'case', 'even', 'colder']",perfect someon like beer ice cold case even colder
0,"['bland', 'flavorless', 'good', 'way', 'describ', 'bare', 'tepid', 'meat']",bland flavorless good way describ bare tepid meat
0,"['chain', 'im', 'fan', 'beat', 'place', 'easili']",chain im fan beat place easili
1,"['nacho', 'must']",nacho must
0,"['come', 'back']",come back
1,"['dont', 'mani', 'word', 'say', 'place', 'everyth', 'pretti', 'well']",dont mani word say place everyth pretti well
1,"['staff', 'super', 'nice', 'quick', 'even', 'crazi', 'crowd', 'downtown', 'juri', 'lawyer', 'court', 'staff']",staff super nice quick even crazi crowd downtown juri lawyer court staff
1,"['great', 'atmospher', 'friendli', 'fast', 'servic']",great atmospher friendli fast servic
1,"['receiv', 'pita', 'huge', 'lot', 'meat', 'thumb']",receiv pita huge lot meat thumb
0,"['food', 'arriv', 'meh']",food arriv meh
0,"['pay', 'hot', 'dog', 'fri', 'look', 'like', 'came', 'kid', 'meal', 'wienerschnitzel', 'idea', 'good', 'meal']",pay hot dog fri look like came kid meal wienerschnitzel idea good meal
1,"['classic', 'main', 'lobster', 'roll', 'fantast']",classic main lobster roll fantast
0,"['brother', 'law', 'work', 'mall', 'ate', 'day', 'guess', 'sick', 'night']",brother law work mall ate day guess sick night
1,"['good', 'go', 'review', 'place', 'twice', 'herea', 'tribut', 'place', 'tribut', 'event', 'held', 'last', 'night']",good go review place twice herea tribut place tribut event held last night
1,"['chip', 'salsa', 'realli', 'good', 'salsa', 'fresh']",chip salsa realli good salsa fresh
1,"['place', 'great']",place great
0,"['mediocr', 'food']",mediocr food
1,"['get', 'insid', 'youll', 'impress', 'place']",get insid youll impress place
0,"['im', 'super', 'pissd']",im super pissd
1,"['servic', 'super', 'friendli']",servic super friendli
0,"['sad', 'littl', 'veget', 'overcook']",sad littl veget overcook
1,"['place', 'nice', 'surpris']",place nice surpris
1,"['goldencrispi', 'delici']",goldencrispi delici
0,"['high', 'hope', 'place', 'sinc', 'burger', 'cook', 'charcoal', 'grill', 'unfortun', 'tast', 'fell', 'flat', 'way', 'flat']",high hope place sinc burger cook charcoal grill unfortun tast fell flat way flat
1,"['could', 'eat', 'bruschetta', 'day', 'devin']",could eat bruschetta day devin
0,"['singl', 'employe', 'came', 'see', 'ok', 'even', 'need', 'water', 'refil', 'final', 'serv', 'us', 'food']",singl employe came see ok even need water refil final serv us food
1,"['lastli', 'mozzarella', 'stick', 'best', 'thing', 'order']",lastli mozzarella stick best thing order
1,"['first', 'time', 'ever', 'came', 'amaz', 'experi', 'still', 'tell', 'peopl', 'awesom', 'duck']",first time ever came amaz experi still tell peopl awesom duck
0,"['server', 'neglig', 'need', 'made', 'us', 'feel', 'unwelcom', 'would', 'suggest', 'place']",server neglig need made us feel unwelcom would suggest place
0,"['servic', 'terribl', 'though']",servic terribl though
0,"['place', 'overpr', 'consist', 'boba', 'realli', 'overpr']",place overpr consist boba realli overpr
0,['pack'],pack
1,"['say', 'dessert', 'yummi']",say dessert yummi
1,"['season', 'fruit', 'fresh', 'white', 'peach', 'pure']",season fruit fresh white peach pure
0,"['kept', 'get', 'wors', 'wors', 'im', 'offici', 'done']",kept get wors wors im offici done
0,"['place', 'honestli', 'blown']",place honestli blown
0,"['definit', 'would', 'eat']",definit would eat
0,"['wast', 'money']",wast money
1,"['love', 'put', 'food', 'nice', 'plastic', 'contain', 'oppos', 'cram', 'littl', 'paper', 'takeout', 'box']",love put food nice plastic contain oppos cram littl paper takeout box
1,"['crêpe', 'delic', 'thin', 'moist']",crêpe delic thin moist
0,"['aw', 'servic']",aw servic
0,"['wont', 'ever', 'go']",wont ever go
0,"['food', 'qualiti', 'horribl']",food qualiti horribl
0,"['price', 'think', 'place', 'would', 'much', 'rather', 'gone']",price think place would much rather gone
0,"['servic', 'fair', 'best']",servic fair best
0,"['love', 'sushi', 'found', 'kabuki', 'overpr', 'overhip', 'underservic']",love sushi found kabuki overpr overhip underservic
0,"['favor', 'stay', 'away', 'dish']",favor stay away dish
0,"['poor', 'servic']",poor servic
0,"['one', 'tabl', 'thought', 'food', 'averag', 'worth', 'wait']",one tabl thought food averag worth wait
1,"['best', 'servic', 'food', 'ever', 'maria', 'server', 'good', 'friendli', 'made', 'day']",best servic food ever maria server good friendli made day
1,['excel'],excel
0,"['paid', 'bill', 'tip', 'felt', 'server', 'terribl', 'job']",paid bill tip felt server terribl job
1,"['lunch', 'great', 'experi']",lunch great experi
0,"['never', 'bland', 'food', 'surpris', 'consid', 'articl', 'read', 'focus', 'much', 'spice', 'flavor']",never bland food surpris consid articl read focus much spice flavor
0,"['food', 'way', 'overpr', 'portion', 'fuck', 'small']",food way overpr portion fuck small
1,"['recent', 'tri', 'caballero', 'back', 'everi', 'week', 'sinc']",recent tri caballero back everi week sinc
0,"['buck', 'head', 'realli', 'expect', 'better', 'food']",buck head realli expect better food
1,"['food', 'came', 'good', 'pace']",food came good pace
1,"['ate', 'twice', 'last', 'visit', 'especi', 'enjoy', 'salmon', 'salad']",ate twice last visit especi enjoy salmon salad
0,"['could', 'believ', 'dirti', 'oyster']",could believ dirti oyster
0,"['place', 'deserv', 'star']",place deserv star
1,"['fact', 'im', 'go', 'round', 'star', 'awesom']",fact im go round star awesom
0,"['disbelief', 'dish', 'qualifi', 'worst', 'version', 'food', 'ever', 'tast']",disbelief dish qualifi worst version food ever tast
0,"['bad', 'day', 'low', 'toler', 'rude', 'custom', 'servic', 'peopl', 'job', 'nice', 'polit', 'wash', 'dish', 'otherwis']",bad day low toler rude custom servic peopl job nice polit wash dish otherwis
1,"['potato', 'great', 'biscuit']",potato great biscuit
0,"['probabl', 'would', 'go']",probabl would go
1,"['flavor', 'perfect', 'amount', 'heat']",flavor perfect amount heat
1,"['price', 'reason', 'servic', 'great']",price reason servic great
0,"['wife', 'hate', 'meal', 'coconut', 'shrimp', 'friend', 'realli', 'enjoy', 'meal', 'either']",wife hate meal coconut shrimp friend realli enjoy meal either
0,"['fella', 'got', 'huevo', 'ranchero', 'didnt', 'look', 'appeal']",fella got huevo ranchero didnt look appeal
1,"['went', 'happi', 'hour', 'great', 'list', 'wine']",went happi hour great list wine
1,"['may', 'say', 'buffet', 'pricey', 'think', 'get', 'pay', 'place', 'get', 'quit', 'lot']",may say buffet pricey think get pay place get quit lot
0,"['probabl', 'wont', 'come', 'back']",probabl wont come back
0,"['worst', 'foodservic', 'ive']",worst foodservic ive
1,"['place', 'pretti', 'good', 'nice', 'littl', 'vibe', 'restaur']",place pretti good nice littl vibe restaur
1,"['talk', 'great', 'custom', 'servic', 'cours', 'back']",talk great custom servic cours back
0,"['hot', 'dish', 'hot', 'cold', 'dish', 'close', 'room', 'tempi', 'watch', 'staff', 'prepar', 'food', 'bare', 'hand', 'gloveseveryth', 'deep', 'fri', 'oil']",hot dish hot cold dish close room tempi watch staff prepar food bare hand gloveseveryth deep fri oil
1,"['love', 'fri', 'bean']",love fri bean
1,"['alway', 'pleasur', 'deal']",alway pleasur deal
1,"['plethora', 'salad', 'sandwich', 'everyth', 'ive', 'tri', 'get', 'seal', 'approv']",plethora salad sandwich everyth ive tri get seal approv
1,"['place', 'awesom', 'want', 'someth', 'light', 'healthi', 'summer']",place awesom want someth light healthi summer
1,"['sushi', 'strip', 'place', 'go']",sushi strip place go
1,"['servic', 'great', 'even', 'manag', 'came', 'help', 'tabl']",servic great even manag came help tabl
0,"['feel', 'dine', 'room', 'colleg', 'cook', 'cours', 'high', 'class', 'dine', 'servic', 'slow', 'best']",feel dine room colleg cook cours high class dine servic slow best
0,"['start', 'review', 'two', 'star', 'im', 'edit', 'give', 'one']",start review two star im edit give one
0,"['worst', 'sushi', 'ever', 'eat', 'besid', 'costco']",worst sushi ever eat besid costco
